Feature,Importance
numeric__overall_skill_score,0.07143756846920025
numeric__mock_interview_score,0.05749581027792365
numeric__coding_skill_score,0.05688271153216804
numeric__leadership_score,0.05539833622848583
numeric__logical_reasoning_score,0.054910593394632126
numeric__aptitude_score,0.054614179423478036
numeric__academic_skill_index,0.05421799376455013
numeric__extracurricular_score,0.05401257353992133
numeric__communication_skill_score,0.05373986108905847
numeric__linkedin_connections,0.052574570105066096
numeric__attendance_percentage,0.051121538174438076
numeric__cgpa,0.05044978575561884
numeric__sleep_hours,0.043990756001482965
numeric__study_hours_per_day,0.043934178245001294
numeric__backlogs,0.027629266021351795
numeric__experience_score,0.02729553231986811
numeric__github_repos,0.023651652492871177
numeric__projects_count,0.020974604171050185
numeric__age,0.020766325087677392
numeric__internships_count,0.019161403381797042
numeric__certifications_count,0.01764646411234919
numeric__hackathons_participated,0.012734852440336111
numeric__project_level,0.0070280687577627425
categorical__branch_CSE,0.005605750591867528
categorical__college_tier_Tier 2,0.005290729800713758
categorical__college_tier_Tier 3,0.005211940800280703
categorical__volunteer_experience_No,0.005045068542260478
categorical__gender_Male,0.005032353259476485
numeric__has_internship,0.005000625321672466
categorical__gender_Female,0.004984204868241147
categorical__volunteer_experience_Yes,0.004901945843265518
categorical__branch_IT,0.004621646159557171
categorical__college_tier_Tier 1,0.00451044023601539
categorical__branch_ECE,0.004091789028342081
numeric__high_cgpa,0.00389000055677394
categorical__branch_Mechanical,0.003414298707884892
categorical__branch_EEE,0.00336876050853904
categorical__branch_Civil,0.0033618209890203827
