model,threshold,accuracy,precision,recall,f1,balanced_accuracy
Logistic Regression Tuned,0.1,0.6849,0.6849,0.9999,0.8129,0.5003
Logistic Regression Tuned,0.15,0.6858,0.6857,0.9991,0.8133,0.5023
Logistic Regression Tuned,0.2,0.6903,0.6899,0.9949,0.8148,0.5118
Logistic Regression Tuned,0.25,0.6962,0.6987,0.9781,0.8151,0.531
Logistic Regression Tuned,0.3,0.6995,0.7115,0.9438,0.8114,0.5563
Logistic Regression Tuned,0.35,0.6975,0.7295,0.887,0.8006,0.5863
Logistic Regression Tuned,0.4,0.684,0.7481,0.8119,0.7787,0.609
Logistic Regression Tuned,0.45,0.6645,0.7717,0.7244,0.7473,0.6295
Logistic Regression Tuned,0.5,0.6319,0.7956,0.6223,0.6983,0.6375
Logistic Regression Tuned,0.55,0.5891,0.8185,0.5138,0.6313,0.6332
Logistic Regression Tuned,0.6,0.5352,0.8389,0.3976,0.5395,0.6158
Logistic Regression Tuned,0.65,0.4798,0.8544,0.2897,0.4327,0.5912
Logistic Regression Tuned,0.7,0.4308,0.8785,0.1958,0.3203,0.5685
Logistic Regression Tuned,0.75,0.3855,0.8953,0.1161,0.2055,0.5433
Logistic Regression Tuned,0.8,0.3527,0.928,0.0593,0.1115,0.5246
Logistic Regression Tuned,0.85,0.3288,0.9503,0.021,0.041,0.5093
Logistic Regression Tuned,0.9,0.3171,0.9744,0.0028,0.0055,0.5013
