feature,importance
cat__college_tier_Tier-3,0.27203485
cat__college_tier_Tier-1,0.11245661
cat__college_tier_Tier-2,0.08948882
num__high_cgpa,0.05170264
num__academic_skill_index,0.040745765
num__has_internship,0.028981064
num__experience_score,0.026271058
num__internships,0.021835065
num__backlogs,0.021432174
num__coding_experience_interaction,0.02031237
cat__branch_CSE,0.01995356
num__cgpa,0.018077444
cat__branch_IT,0.017559526
cat__branch_Chemical,0.016730685
num__cgpa_projects_interaction,0.016080929
num__strong_candidate_indicator,0.01607493
num__backlog_risk,0.015627466
cat__branch_CE,0.015180592
num__certifications,0.013891615
cat__branch_EE,0.013504119
cat__branch_ME,0.013108783
num__communication_skills,0.013025051
num__overall_skill_score,0.012579742
cat__branch_ECE,0.012546635
num__project_level,0.011952115
num__dsa_score,0.011226773
num__open_source_contributions,0.01019264
num__system_design,0.010066077
num__aptitude_score,0.00992873
num__hackathons,0.009624819
